id;konto;text;skill;branche;word_count;character_count
ZE-010;ZEG – Test Agent;Bei mir ist der Tag nicht so wichtig. Schaut einfach nach dem nächsten freien Termin für mich.;calendar;Fahrradhandel;17;94
ZE-011;ZEG – Test Agent;Meine eigenen freien Tage stehen noch nicht fest. Bitte noch keinen Termin suchen.;none;Fahrradhandel;13;82
ZE-012;ZEG – Test Agent;Es muss kein bestimmter Wochentag sein. Hauptsache, ich kann möglichst bald bei Ihnen vorbeikommen. Welche freie Möglichkeit finden Sie als Nächstes in Ihrem Kalender?;calendar;Fahrradhandel;24;167
ZE-013;ZEG – Test Agent;Vormittags wäre wahrscheinlich besser, aber das muss ich erst noch zu Hause abstimmen. Ich möchte jetzt weder freie Zeiten prüfen lassen noch einen Termin festlegen. Wir bleiben erst einmal dabei.;none;Fahrradhandel;30;196
ZE-014;ZEG – Test Agent;"Ich meinte vormittags statt nachmittags. Sucht bitte nächste Woche etwas vor zwölf; gebucht ist noch nichts.";calendar;Fahrradhandel;16;108
ZE-015;ZEG – Test Agent;Lieber vormittags. Welche freien Termine gibt es nächste Woche?;calendar;Fahrradhandel;9;63
ZE-016;ZEG – Test Agent;Die Entscheidung steht: Ich möchte einen Termin bei Ihnen vereinbaren. Bisher habe ich weder online noch telefonisch etwas gebucht, wir würden also ganz von vorne anfangen.;calendar;Fahrradhandel;26;172
ZE-017;ZEG – Test Agent;Ich habe mich entschieden und würde jetzt gern einen Termin bei euch buchen. Bisher ist noch nichts vereinbart.;calendar;Fahrradhandel;18;111
ZE-018;ZEG – Test Agent;Mit der Buchung warte ich noch.;none;Fahrradhandel;6;31
ZE-019;ZEG – Test Agent;Geht es eher am Montag oder Donnerstag? Bitte prüfen Sie freie Termine.;calendar;Fahrradhandel;12;71
ZE-020;ZEG – Test Agent;Montag oder Donnerstag ging es um meinen Zahnarzt, nicht um einen Termin bei euch.;none;Fahrradhandel;14;82
ZE-021;ZEG – Test Agent;Montag oder Donnerstag könnte ich es einrichten. Mir wäre wichtig, dass Sie einmal nachsehen, an welchem der beiden Tage ein Termin frei ist. Ich bin zeitlich flexibel.;calendar;Fahrradhandel;27;168
ZE-022;ZEG – Test Agent;Die Bedingungen zur Probefahrt kenne ich schon.;none;Fahrradhandel;7;47
ZE-023;ZEG – Test Agent;Ich möchte noch keinen Termin vereinbaren. Mich interessiert zunächst, ob eine Probefahrt bei euch grundsätzlich möglich ist und was dabei zu beachten wäre. Wie sind dafür eure allgemeinen Bedingungen?;knowledge-base;Fahrradhandel;29;201
ZE-024;ZEG – Test Agent;Kann man eure Fahrräder vor dem Kauf ausprobieren?;knowledge-base;Fahrradhandel;8;50
ZE-025;ZEG – Test Agent;Muss man für eine Beratung bei euch vorher etwas vereinbaren, oder kann man ohne Termin kommen?;knowledge-base;Fahrradhandel;16;95
ZE-026;ZEG – Test Agent;Kann ich für die Beratung spontan vorbeikommen oder muss ich einen Termin vereinbaren?;knowledge-base;Fahrradhandel;13;86
ZE-027;ZEG – Test Agent;Alles klar, wie das mit den Beratungsterminen läuft, weiß ich jetzt.;none;Fahrradhandel;11;68
ZE-028;ZEG – Test Agent;Gibt es Parkplätze bei euch?;knowledge-base;Fahrradhandel;5;28
ZE-029;ZEG – Test Agent;Den Parkplatz habe ich gefunden, alles gut.;none;Fahrradhandel;7;43
ZE-030;ZEG – Test Agent;Für die Anfahrt mit dem Auto: Welche Parkmöglichkeiten gibt es bei euch?;knowledge-base;Fahrradhandel;12;72
ZE-031;ZEG – Test Agent;Also hier stehen ja die Öffnungszeiten. Die schreibe ich mir kurz auf.;none;Fahrradhandel;12;70
ZE-032;ZEG – Test Agent;Ich möchte meine Woche planen und brauche dafür eure regulären Öffnungszeiten. ;knowledge-base;Fahrradhandel;11;79
ZE-033;ZEG – Test Agent;Zu welchen Zeiten habt ihr geöffnet?;knowledge-base;Fahrradhandel;6;36
ZE-034;ZEG – Test Agent;Bei einem Kinderfahrrad ist mir die Prüfung wichtig. Welche Informationen habt ihr zur TÜV-Prüfung eurer Räder?;knowledge-base;Fahrradhandel;16;111
ZE-035;ZEG – Test Agent;Bei Kinderfahrrädern ist mir eine Prüfung wichtig. Welche Angaben habt ihr zur TÜV-Prüfung eurer Räder?;knowledge-base;Fahrradhandel;15;103
ZE-036;ZEG – Test Agent;Die Angaben zur TÜV-Prüfung liegen vor mir. Gebt mir einen Moment zum Lesen.;none;Fahrradhandel;13;76
IM-001;Surfers Immobilien;Das möchte ich persönlich besprechen. Vereinbaren wir einen Termin?;calendar;Immobilien;9;67
IM-002;Surfers Immobilien;Am Telefon ist das schwierig zu erklären, aber für einen persönlichen Besuch bin ich noch nicht bereit.;none;Immobilien;17;103
IM-003;Surfers Immobilien;Können wir einen Termin für ein persönliches Gespräch vor Ort festmachen?;calendar;Immobilien;11;73
IM-004;Surfers Immobilien;Das mit dem Termin nächste Woche ist hinfällig.;none;Immobilien;8;47
IM-005;Surfers Immobilien;Nächste Woche habe ich Urlaub und könnte mir Zeit nehmen. Sehen Sie bitte nach einem freien Termin. Vormittags wäre schön, nachmittags geht aber auch.;calendar;Immobilien;24;150
IM-006;Surfers Immobilien;Nächste Woche kann ich mir Zeit nehmen. Welche freien Termine gibt es dann?;calendar;Immobilien;13;75
IM-007;Surfers Immobilien;Ich war bisher noch nicht bei Ihnen und würde jetzt gern einen ersten Termin vereinbaren.;calendar;Immobilien;15;89
IM-008;Surfers Immobilien;Ich brauche erstmals einen Termin;calendar;Immobilien;5;33
IM-009;Surfers Immobilien;Zum ersten Besuch habe ich mich noch nicht entschieden. ;none;Immobilien;9;56
IM-010;Surfers Immobilien;Vor sechzehn Uhr schaffe ich es nicht. Können Sie schauen, ob danach ein Termin frei ist?;calendar;Immobilien;16;89
IM-011;Surfers Immobilien;Ab vier hab ich meistens Zeit. Ich muss erst mal schauen, welcher Tag passt, und melde mich dann.;none;Immobilien;18;97
IM-012;Surfers Immobilien;Vor vier komme ich nicht von der Arbeit weg. Haben Sie danach einen Termin frei? Der Tag ist mir egal.;calendar;Immobilien;20;102
IM-013;Surfers Immobilien;Dienstag bleibt frei. Ich möchte nichts vereinbaren.;none;Immobilien;7;52
IM-014;Surfers Immobilien;Ich habe am Dienstag einen freien Vormittag und würde den gern für einen Termin bei Ihnen nutzen. Schauen Sie nach einer freien Uhrzeit? Noch ist nichts gebucht.;calendar;Immobilien;27;161
IM-015;Surfers Immobilien;Dienstagvormittag bin ich frei. Was hätten Sie da noch?;calendar;Immobilien;9;55
IM-016;Surfers Immobilien;Ich würde gern möglichst bald vorbeikommen. Was wäre denn der nächste freie Termin? Ich bin zeitlich flexibel.;calendar;Immobilien;17;110
IM-017;Surfers Immobilien;Ich würde das lieber persönlich mit Ihnen besprechen. Können wir dafür etwas ausmachen?;calendar;Immobilien;13;87
IM-018;Surfers Immobilien;Ich spreche erst mal mit meiner Familie, wann es bei uns allen passt. Mein Mann möchte auch dabei sein. Sobald wir uns abgestimmt haben, sage ich Bescheid;none;Immobilien;27;154
IM-019;Surfers Immobilien;Für meine Partnerin und mich möchten wir einen Termin vereinbaren.;calendar;Immobilien;10;66
IM-020;Surfers Immobilien;Meine Partnerin und ich haben zwar über ein gemeinsames Gespräch bei Ihnen gesprochen, aber unsere Zeitplanung steht noch nicht. Solange das offen ist, möchten wir ausdrücklich keinen Termin suchen oder vereinbaren lassen.;none;Immobilien;32;222
IM-021;Surfers Immobilien;Meine Partnerin soll beim Gespräch dabei sein. Wir haben uns beide den Freitag freigehalten und würden nun gern einen gemeinsamen Termin bei Ihnen festmachen. Helfen Sie uns dabei?;calendar;Immobilien;28;180
SC-001;Schreinerei Surfers;Für die Mitmachwerkstatt möchte ich einen Termin vereinbaren.;calendar;Handwerk / Schreinerei;8;61
SC-002;Schreinerei Surfers;Die Werkstattplanung liegt bei mir vorerst auf Eis.;none;Handwerk / Schreinerei;8;51
SC-003;Schreinerei Surfers;Für die Mitmachwerkstatt steht meine Entscheidung fest. Können wir einen Termin vereinbaren?;calendar;Handwerk / Schreinerei;12;92
SC-004;Schreinerei Surfers;Nächste Woche klappt es doch nicht. Bitte keine freien Termine mehr heraussuchen.;none;Handwerk / Schreinerei;12;81
SC-005;Schreinerei Surfers;Ich habe nächste Woche etwas Luft und könnte bei Ihnen vorbeikommen. Bitte sehen Sie nach, wann ein Termin frei wäre. Montag passt mir allerdings überhaupt nicht.;calendar;Handwerk / Schreinerei;26;162
SC-006;Schreinerei Surfers;Ich hätte nächste Woche etwas Zeit. Schauen Sie bitte, ob bei Ihnen noch ein Termin frei ist.;calendar;Handwerk / Schreinerei;17;93
SC-007;Schreinerei Surfers;Zeigen wäre einfacher als Erklären. Können wir dafür einen persönlichen Termin bei Ihnen ausmachen?;calendar;Handwerk / Schreinerei;14;99
SC-008;Schreinerei Surfers;Lassen Sie uns das vor Ort besprechen und einen Termin ausmachen.;calendar;Handwerk / Schreinerei;11;65
SC-009;Schreinerei Surfers;Vielleicht komme ich später einmal persönlich vorbei, weil sich mein Anliegen so besser erklären lässt. Das ist aber noch keine feste Entscheidung. ;none;Handwerk / Schreinerei;22;148
SC-010;Schreinerei Surfers;Nachmittags bin ich verplant. Gibt es für die Mitmachwerkstatt nächste Woche freie Termine am Vormittag?;calendar;Handwerk / Schreinerei;15;104
SC-011;Schreinerei Surfers;Vormittags fällt aus, die Werkstattplanung ist vertagt.;none;Handwerk / Schreinerei;7;55
SC-012;Schreinerei Surfers;Meine Nachmittage sind verplant, morgens bin ich flexibel. Könnten Sie nach freien Terminen für die Mitmachwerkstatt am Vormittag suchen? ;calendar;Handwerk / Schreinerei;19;138
SC-013;Schreinerei Surfers;Mein Bruder und ich überlegen noch. Eine Werkstattbuchung steht derzeit nicht an.;none;Handwerk / Schreinerei;12;81
SC-014;Schreinerei Surfers;Sara und ich möchten zusammen in die Mitmachwerkstatt kommen. Einen Termin haben wir noch nicht. Würden Sie mit uns eine passende Möglichkeit für zwei Personen finden?;calendar;Handwerk / Schreinerei;26;167
SC-015;Schreinerei Surfers;Wir wären zu zweit. Können wir einen Werkstatttermin buchen?;calendar;Handwerk / Schreinerei;9;60
SC-016;Schreinerei Surfers;Donnerstag bin ich ohnehin in der Nähe und könnte zu Ihnen kommen. Können Sie prüfen, ob an diesem Tag ein Termin verfügbar ist? Die Uhrzeit kann ich anpassen.;calendar;Handwerk / Schreinerei;28;159
SC-017;Schreinerei Surfers;Könnten Sie nach einem freien Termin am Donnerstagschauen?;calendar;Handwerk / Schreinerei;8;58
SC-018;Schreinerei Surfers;Am Dienstag fahre ich zwar an Ihrer Gegend vorbei, habe aber andere Dinge zu erledigen. ;none;Handwerk / Schreinerei;15;88
SC-019;Schreinerei Surfers;Nicht nur informieren: Ich möchte tatsächlich einen Termin buchen.;calendar;Handwerk / Schreinerei;9;66
SC-020;Schreinerei Surfers;Buchen war ein Versprecher.;none;Handwerk / Schreinerei;4;27
SC-021;Schreinerei Surfers;Zuerst wollte ich mich nur erkundigen. Inzwischen habe ich mich entschieden und würde gern einen Termin bei Ihnen festmachen. Was brauchen Sie von mir für die Vereinbarung?;calendar;Handwerk / Schreinerei;27;172
ME-001;Surfers Medical;Einen Termin in Ihrer Praxis würde ich gern vereinbaren.;calendar;Arztpraxis;9;56
ME-002;Surfers Medical;Einen Praxisbesuch plane ich noch nicht fest. Bitte heute keinen Termin vereinbaren.;none;Arztpraxis;12;84
ME-003;Surfers Medical;Ich würde mein Anliegen gern persönlich in der Praxis besprechen. Können wir dafür einen Termin ausmachen? Ich kann mich zeitlich etwas nach Ihnen richten.;calendar;Arztpraxis;24;155
ME-004;Surfers Medical;Ich dachte, dass ich nächste Woche wieder in der Stadt wäre, bleibe aber doch noch unterwegs. Zum Termin komme ich nicht. ;none;Arztpraxis;21;122
ME-005;Surfers Medical;Nächste Woche bin ich wieder in der Stadt. Schauen Sie bitte nach einem freien Termin in Ihrer Praxis. Der Tag ist mir egal, nur mittags kann ich schlecht.;calendar;Arztpraxis;28;155
ME-006;Surfers Medical;Ist nächste Woche ein Praxistermin frei?;calendar;Arztpraxis;6;40
ME-007;Surfers Medical;Ich könnte morgen oder übermorgen in die Praxis kommen und würde gern einen Termin vereinbaren. Können Sie die freien Zeiten für diese beiden Tage nachsehen?;calendar;Arztpraxis;25;157
ME-008;Surfers Medical;Ich habe über den Termin vergessen. Kann ich einen neuen ausmachen?;calendar;Arztpraxis;11;67
ME-009;Surfers Medical;Ich meinte meinen Privatbesuch, keinen Praxistermin.;none;Arztpraxis;6;52
ME-010;Surfers Medical;Bitte machen Sie einen neuen Termin mit mir aus.;calendar;Arztpraxis;9;48
ME-011;Surfers Medical;Ich habe mich versprochen. Einen neuen Termin brauche ich gerade überhaupt nicht.;none;Arztpraxis;12;81
ME-012;Surfers Medical;Ich habe noch keinen Termin vereinbart und möchte jetzt einen buchen. ;calendar;Arztpraxis;11;70
ME-013;Surfers Medical;Vor elf wäre für mich normalerweise günstig, aber ich habe derzeit gar keinen Terminbedarf. Das war nur eine Bemerkung zu meinem Tagesablauf. ;none;Arztpraxis;22;142
ME-014;Surfers Medical;Ich muss spätestens um elf wieder los. Könnten Sie nach einem freien Termin am Vormittag suchen?;calendar;Arztpraxis;16;96
ME-015;Surfers Medical;Welche freien Termine haben Sie vor fünfzehn Uhr?;calendar;Arztpraxis;8;49
ME-016;Surfers Medical;Wegen meiner Arbeit komme ich erst am späten Nachmittag in die Praxis. Bitte schauen Sie nach einem verfügbaren Termin nach sechzehn Uhr. Nächste Woche wäre für mich passend.;calendar;Arztpraxis;28;174
ME-017;Surfers Medical;Nach vier wäre gut. Ist dann noch etwas frei?;calendar;Arztpraxis;9;45
ME-018;Surfers Medical;Doch kein Besuch nach vier. Terminsuche streichen.;none;Arztpraxis;7;50
ME-019;Surfers Medical;Ich komme mit Begleitung. Können wir meinen Termin festlegen?;calendar;Arztpraxis;9;61
ME-020;Surfers Medical;Ich habe noch ein paar Fragen. Bitte noch nichts vereinbaren.;none;Arztpraxis;10;61
ME-021;Surfers Medical;Meine Schwester  begleitet mich.Wir möchten Dienstag oder Freitag buchen, wenn es möglich.;calendar;Arztpraxis;13;90
CH-001;Schornsteinfeger – Outbound Beispiel;Welche Arbeiten übernimmt Ihr Schornsteinfegerbetrieb?;knowledge-base;Schornsteinfegerbetrieb;5;54
CH-002;Schornsteinfeger – Outbound Beispiel;Ihr Leistungsangebot kenne ich inzwischen vollständig.;none;Schornsteinfegerbetrieb;6;54
CH-003;Schornsteinfeger – Outbound Beispiel;Außer dem klassischen Schornsteinfegen: Welche weiteren Arbeiten bietet Ihr Betrieb grundsätzlich an?;knowledge-base;Schornsteinfegerbetrieb;12;101
CH-004;Schornsteinfeger – Outbound Beispiel;meine Frau hat gerade auf Ihrer Website nachgeschaut. Unser Ort liegt wohl außerhalb Ihres Einsatzgebiets. Dann hat sich meine Frage schon geklärt, und wir schauen mal, wer bei uns in der Nähe ist.;none;Schornsteinfegerbetrieb;33;197
CH-005;Schornsteinfeger – Outbound Beispiel;Bevor ich mich mit einem konkreten Auftrag befasse, würde ich gern Ihr Einsatzgebiet kennen. In welchen Orten oder Regionen arbeitet Ihr Betrieb?;knowledge-base;Schornsteinfegerbetrieb;22;145
CH-006;Schornsteinfeger – Outbound Beispiel;In welchem Gebiet sind Sie unterwegs?;knowledge-base;Schornsteinfegerbetrieb;6;37
CH-007;Schornsteinfeger – Outbound Beispiel;Für einen möglichen Besuch müsste ich meine Arbeitszeit planen. Ist meine persönliche Anwesenheit erforderlich, oder kann jemand anderes den Zugang ermöglichen?;knowledge-base;Schornsteinfegerbetrieb;21;160
CH-008;Schornsteinfeger – Outbound Beispiel;Muss ich beim Schornsteinfegerbesuch selbst da sein, oder darf jemand anderes den Zugang ermöglichen?;knowledge-base;Schornsteinfegerbetrieb;14;101
CH-009;Schornsteinfeger – Outbound Beispiel;Die Regel zur Anwesenheit habe ich verstanden und bereits mit meiner Familie besprochen.;none;Schornsteinfegerbetrieb;13;88
CH-010;Schornsteinfeger – Outbound Beispiel;Wie lange dauert ein Besuch normalerweise?;knowledge-base;Schornsteinfegerbetrieb;6;42
CH-011;Schornsteinfeger – Outbound Beispiel;Wie lange der Besuch dauert, wurde mir schon erklärt. Mein Zeitplan steht jetzt,;none;Schornsteinfegerbetrieb;13;80
CH-012;Schornsteinfeger – Outbound Beispiel;Damit ich später ausreichend Zeit einplane: Wie lange dauert ein gewöhnlicher Besuch bei Ihnen?;knowledge-base;Schornsteinfegerbetrieb;14;95
CH-013;Schornsteinfeger – Outbound Beispiel;Die Vorbereitung ist geklärt, ich habe die Hinweise.;none;Schornsteinfegerbetrieb;8;52
CH-014;Schornsteinfeger – Outbound Beispiel;Ich möchte wissen, was man vor einem Besuch freiräumen oder bereitlegen sollte. Gibt es bestimmte Vorbereitungen, auf die Sie hinweisen? Ich möchte vermeiden, dass vor Ort erst noch alles organisiert werden muss.;knowledge-base;Schornsteinfegerbetrieb;32;212
CH-015;Schornsteinfeger – Outbound Beispiel;Was sollte vor Ihrem Besuch vorbereitet sein?;knowledge-base;Schornsteinfegerbetrieb;7;45
CH-016;Schornsteinfeger – Outbound Beispiel;Nach einem Schornsteinfegerbesuch bekommt man ja Unterlagen. Welche Dokumentation stellt Ihr Betrieb aus?;knowledge-base;Schornsteinfegerbetrieb;13;105
CH-017;Schornsteinfeger – Outbound Beispiel;Welche Dokumentation bekomme ich nach einer Prüfung? Mir geht es um die üblichen Unterlagen.;knowledge-base;Schornsteinfegerbetrieb;14;92
CH-018;Schornsteinfeger – Outbound Beispiel;Die Hinweise zu den Unterlagen habe ich gefunden. Einen Moment, ich lese sie kurz durch.;none;Schornsteinfegerbetrieb;15;88
CH-019;Schornsteinfeger – Outbound Beispiel;Sind bei Ihnen grundsätzlich kurzfristige Termine möglich?;knowledge-base;Schornsteinfegerbetrieb;7;58
CH-020;Schornsteinfeger – Outbound Beispiel;Meine Frage zu kurzfristigen Terminen wurde schon beantwortet.;none;Schornsteinfegerbetrieb;8;62
CH-021;Schornsteinfeger – Outbound Beispiel;Wie viel Vorlauf brauchen Termine normalerweise?;knowledge-base;Schornsteinfegerbetrieb;6;48
PI-001;PIABO;Welche Kommunikationsleistungen bietet PIABO an?;knowledge-base;PR / Kommunikation;5;48
PI-002;PIABO;Euer Leistungsangebot habe ich inzwischen verstanden.;none;PR / Kommunikation;6;53
PI-003;PIABO;Unser Unternehmen verschafft sich gerade einen Überblick über Agenturen. Welche Leistungen deckt PIABO ab? Ich möchte zunächst das Angebot verstehen und noch kein Projektgespräch oder einen Rückruf vereinbaren.;knowledge-base;PR / Kommunikation;28;210
PI-004;PIABO;Zum Branchenfokus habe ich die Antwort gefunden. Eine Projektanfrage oder einen Rückruf brauche ich nicht.;none;PR / Kommunikation;15;106
PI-005;PIABO;Wir vergleichen gerade, welche Agenturen Erfahrung in unserer Branche mitbringen. Welche Branchen stehen bei PIABO im Mittelpunkt? Es geht mir erst einmal um euren allgemeinen Fokus, nicht um eine konkrete Projektanfrage.;knowledge-base;PR / Kommunikation;31;221
PI-006;PIABO;Wir vergleichen gerade Agenturen für unser Unternehmen. Auf welche Branchen konzentriert sich PIABO?;knowledge-base;PR / Kommunikation;13;100
PI-007;PIABO;Ich habe Influencer Relations bei euren Leistungen gesehen. Welche Unterstützung gehört bei PIABO dazu?;knowledge-base;PR / Kommunikation;14;103
PI-008;PIABO;Was bietet ihr im Bereich Influencer Relations?;knowledge-base;PR / Kommunikation;7;47
PI-009;PIABO;Zum Thema Influencer Relations ist alles geklärt.;none;PR / Kommunikation;7;49
PI-010;PIABO;Was macht PIABO im Bereich GEO?;knowledge-base;PR / Kommunikation;6;31
PI-011;PIABO;Meine Erkundigung zu GEO ist nicht mehr aktuell, ich habe eure Beschreibung inzwischen gelesen und möchte sie erst mit dem Team besprechen.;none;PR / Kommunikation;22;139
PI-012;PIABO;Wir beschäftigen uns mit Sichtbarkeit in generativen KI-Angeboten und sind dabei auf GEO gestoßen. Welche Leistungen bietet PIABO in diesem Bereich?;knowledge-base;PR / Kommunikation;21;148
PI-013;PIABO;Die Karriereinformationen habe ich gerade geöffnet. Lasst mich einen Moment lesen, bevor ich weiterfrage.;none;PR / Kommunikation;14;105
PI-014;PIABO;Ich interessiere mich für eine Tätigkeit bei euch und möchte mich erst einmal informieren. Wo bekomme ich Auskunft zu Karrieremöglichkeiten und dem Bewerbungsweg? ;knowledge-base;PR / Kommunikation;23;163
PI-015;PIABO;Ich interessiere mich für eine Tätigkeit bei euch. Wo finde ich Informationen zu Karrieremöglichkeiten?;knowledge-base;PR / Kommunikation;14;103
PI-016;PIABO;Vor einer möglichen Bewerbung interessiert mich, welche allgemeine Regelung PIABO zu Remote Work hat.;knowledge-base;PR / Kommunikation;14;101
PI-017;PIABO;Wie ist mobiles Arbeiten bei euch geregelt?;knowledge-base;PR / Kommunikation;7;43
PI-018;PIABO;Die Regelung zu Remote Work ist mir jetzt bekannt. Ich habe dazu keine weitere Frage ;none;PR / Kommunikation;15;85
PI-019;PIABO;Hat PIABO einen eigenen Podcast?;knowledge-base;PR / Kommunikation;5;32
PI-020;PIABO;Podcast ist mir nicht interessant;none;PR / Kommunikation;5;33
PI-021;PIABO;Ich höre unterwegs gern Podcasts und habe gesehen, dass PIABO dieses Thema aufführt. Welche Informationen gibt es zu eurem Podcast und seinen Inhalten?;knowledge-base;PR / Kommunikation;23;151
